Country,TotalConfirmed,TotalDeaths,TotalRecovered,ActiveCases,NewCases,NewDeaths,NewRecovered,Recovered / 100 Cases,Deaths / 100 Recovered,Continent
Afghanistan,36263,1269,25198,9796,106,10,18,69.49,5.04,Eastern Mediterranean
Albania,4880,144,2745,1991,117,6,63,56.25,5.25,Europe
Algeria,27973,1163,18837,7973,616,8,749,67.34,6.17,Africa
Andorra,907,52,803,52,10,0,0,88.53,6.48,Europe
Angola,950,41,242,667,18,1,0,25.47,16.94,Africa
Antigua and Barbuda,86,3,65,18,4,0,5,75.58,4.62,Americas
Argentina,167416,3059,72575,91782,4890,120,2057,43.35,4.21,Americas
Armenia,37390,711,26665,10014,73,6,187,71.32,2.67,Europe
Australia,15303,167,9311,5825,368,6,137,60.84,1.79,Western Pacific
Austria,20558,713,18246,1599,86,1,37,88.75,3.91,Europe
Azerbaijan,30446,423,23242,6781,396,6,558,76.34,1.82,Europe
Bahamas,382,11,91,280,40,0,0,23.82,12.09,Americas
Bahrain,39482,141,36110,3231,351,1,421,91.46,0.39,Eastern Mediterranean
Bangladesh,226225,2965,125683,97577,2772,37,1801,55.56,2.36,South-East Asia
Barbados,110,7,94,9,0,0,0,85.45,7.45,Americas
Belarus,67251,538,60492,6221,119,4,67,89.95,0.89,Europe
Belgium,66428,9822,17452,39154,402,1,14,26.27,56.28,Europe
Belize,48,2,26,20,0,0,0,54.17,7.69,Americas
Benin,1770,35,1036,699,0,0,0,58.53,3.38,Africa
Bhutan,99,0,86,13,4,0,1,86.87,0.0,South-East Asia
Bolivia,71181,2647,21478,47056,1752,64,309,30.17,12.32,Americas
Bosnia and Herzegovina,10498,294,4930,5274,731,14,375,46.96,5.96,Europe
Botswana,739,2,63,674,53,1,11,8.53,3.17,Africa
Brazil,2442375,87618,1846641,508116,23284,614,33728,75.61,4.74,Americas
Brunei,141,3,138,0,0,0,0,97.87,2.17,Western Pacific
Bulgaria,10621,347,5585,4689,194,7,230,52.58,6.21,Europe
Burkina Faso,1100,53,926,121,14,0,6,84.18,5.72,Africa
Burma,350,6,292,52,0,0,2,83.43,2.05,South-East Asia
Burundi,378,1,301,76,17,0,22,79.63,0.33,Africa
Cabo Verde,2328,22,1550,756,21,0,103,66.58,1.42,Africa
Cambodia,226,0,147,79,1,0,4,65.04,0.0,Western Pacific
Cameroon,17110,391,14539,2180,402,6,0,84.97,2.69,Africa
Canada,116458,8944,0,107514,682,11,0,0.0,inf,Americas
Central African Republic,4599,59,1546,2994,0,0,0,33.62,3.82,Africa
Chad,922,75,810,37,7,0,0,87.85,9.26,Africa
Chile,347923,9187,319954,18782,2133,75,1859,91.96,2.87,Americas
China,86783,4656,78869,3258,213,4,7,90.88,5.9,Western Pacific
Colombia,257101,8777,131161,117163,16306,508,11494,51.02,6.69,Americas
Comoros,354,7,328,19,0,0,0,92.66,2.13,Africa
Democratic Republic of the Congo,3200,54,829,2317,162,3,73,25.91,6.51,Africa
Democratic Republic of the Congo,8844,208,5700,2936,13,4,190,64.45,3.65,Africa
Costa Rica,15841,115,3824,11902,612,11,88,24.14,3.01,Americas
Ivory Coast,15655,96,10361,5198,59,0,183,66.18,0.93,Africa
Croatia,4881,139,3936,806,24,3,70,80.64,3.53,Europe
