Country,ReportDate,NewCases,NewDeaths,new_deaths,Tot Cases/1M pop,Deaths/1M pop
Africa,2022-05-01,27.0,2.0,0.0,0.019,0.0014
Africa,2022-05-02,27.0,2.0,0.0,0.019,0.0014
Africa,2022-05-03,27.0,2.0,0.0,0.019,0.0014
Africa,2022-05-04,27.0,2.0,0.0,0.019,0.0014
Africa,2022-05-05,27.0,2.0,0.0,0.019,0.0014
Africa,2022-05-06,27.0,2.0,0.0,0.019,0.0014
Africa,2022-05-07,27.0,2.0,0.0,0.019,0.0014
Africa,2022-05-08,27.0,2.0,0.0,0.019,0.0014
Africa,2022-05-09,27.0,2.0,0.0,0.019,0.0014
Africa,2022-05-10,27.0,2.0,0.0,0.019,0.0014
Africa,2022-05-11,27.0,2.0,0.0,0.019,0.0014
Africa,2022-05-12,27.0,2.0,0.0,0.019,0.0014
Africa,2022-05-13,31.0,2.0,0.0,0.022,0.0014
Africa,2022-05-14,31.0,2.0,0.0,0.022,0.0014
Africa,2022-05-15,31.0,2.0,0.0,0.022,0.0014
Africa,2022-05-16,31.0,2.0,0.0,0.022,0.0014
Africa,2022-05-17,31.0,2.0,0.0,0.022,0.0014
Africa,2022-05-18,31.0,2.0,0.0,0.022,0.0014
Africa,2022-05-19,31.0,2.0,0.0,0.022,0.0014
Africa,2022-05-20,43.0,2.0,0.0,0.03,0.0014
Africa,2022-05-21,43.0,2.0,0.0,0.03,0.0014
Africa,2022-05-22,43.0,2.0,0.0,0.03,0.0014
Africa,2022-05-23,43.0,2.0,0.0,0.03,0.0014
Africa,2022-05-24,43.0,2.0,0.0,0.03,0.0014
Africa,2022-05-25,43.0,2.0,0.0,0.03,0.0014
Africa,2022-05-26,43.0,2.0,0.0,0.03,0.0014
Africa,2022-05-27,43.0,2.0,0.0,0.03,0.0014
Africa,2022-05-28,43.0,2.0,0.0,0.03,0.0014
Africa,2022-05-29,43.0,2.0,0.0,0.03,0.0014
Africa,2022-05-30,43.0,2.0,0.0,0.03,0.0014
Africa,2022-05-31,43.0,2.0,0.0,0.03,0.0014
